No.,EFA.ID,Date,lon,lat,Pb,O,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb
36,JPL09,1/17/2025,-118.127696,34.161591,0.0431,41.243,1.866,6.713,19.571,0.315,0.318,8.549,10.082,1.027,0.286,9.68,0.0052,0.0186,0.083,0.0062,0.0032,0.0294,0.1,0.0089,0.0481,0.0032
37,JPL58,1/19/2025,-118.159399,34.175086,0.0411,39.308,2.595,5.697,16.029,0.389,0.422,8.625,17.14,1.539,0.375,7.388,0.0078,0.0267,0.224,0.0059,0.0028,0.0243,0.127,0.0068,0.0265,0.0033
38,GPS05,1/16/2025,-118.1360549,34.14242541,0.0194,34.765,2.326,1.687,11.277,0.906,0.364,13.393,28.958,0.544,0.618,4.857,0.0048,0.0238,0.056,0.0032,0.0034,0.0087,0.182,0.0028,0,0
39,JPL29,1/18/2025,-118.0829862,34.1835037,0.0286,37.153,1.783,3.646,13.869,0.534,0.327,9.343,22.76,0.886,0.533,8.804,0.0082,0.0269,0.061,0.0056,0.0028,0.019,0.192,0.0041,0.016,0
40,JPL40,1/18/2025,-118.043631,34.171007,0.0317,37.672,2.882,4.333,14.009,0.557,0.393,9.826,19.972,1.003,0.399,8.592,0.0102,0.0436,0.092,0.0057,0.0028,0.0189,0.145,0.0046,0.0062,0
41,GPS03,1/16/2025,-118.1442766,34.13003831,0.0401,40.13,2.404,6.139,17.123,0.36,0.309,6.616,15.653,0.926,0.411,9.492,0.008,0.0272,0.088,0.0061,0,0.0248,0.154,0.0071,0.033,0.0032
42,XPAH53,2/2/2025,-118.1021143,34.18680677,0.0119,43.161,1.106,7.007,24.046,0.122,0.08,9.186,4.318,1.053,0.169,9.375,0.0069,0.0084,0.026,0.0053,0,0.0296,0.066,0.0107,0.06,0.0046
43,XPAH26,1/23/2025,-118.1546533,34.19515997,0.0105,39.16,2.686,1.448,19.753,0,1.489,1.746,11.161,0.652,0.058,2.372,0.0082,0.075,4.725,0,0,0.0028,0.0216,0.0013,0.0087,0
44,XPAH28,1/23/2025,-118.1356154,34.20647326,2.943,42.249,14.488,2.944,20.263,0,0.311,2.346,9.615,0.655,0.108,2.829,0.0047,0.422,0.484,0,0,0.0116,0.0364,0,0.0207,0.0024
45,JPL28,1/18/2025,-118.088444,34.166472,0.0347,36.382,1.816,3.312,12.942,0.531,0.327,10.742,21.852,1.031,0.514,9.947,0.0105,0.0322,0.093,0.0054,0.0016,0.0234,0.23,0.0046,0.0284,0
46,XPAH55,2/3/2025,-118.1043902,34.1934502,0.0173,43.395,1.416,6.455,24.039,0.153,0.104,7.174,6.031,1.277,0.158,9.492,0.0046,0.0056,0.0224,0.0046,0,0.0186,0.063,0.0088,0.062,0.004
