Environment,Media,System,Site,Site-Event-Code,Latitude,Longitude,Sample ID,MP Concentration,Concentration Units,Sample Volume (m3),Sample Collection Date,Discharge (cms)
Ocean,Water,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-dry,33.731900,-118.122350,SG-SP2-Epibenthic-dry,0.71562158,count/m3,303.2328904,9/10/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-wet,33.731900,-118.122350,SG-SP2-Epibenthic-wet,1.158461297,count/m3,145.0199505,3/12/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-dry,33.731900,-118.122350,SG-SP2-Manta-dry,8.710700234,count/m3,82.88656257,9/10/21,NA
Ocean,Water,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-wet,33.731900,-118.122350,SG-SP2-Manta-wet,1.199049141,count/m3,78.39545253,3/12/21,NA
Ocean,Sediment,San Pedro Shelf (Nearshore),HC-H1,HC-H1-dry,33.654967,-118.029333,HC-H1-Sediment-dry,99.96539357,count/kg dry sediment,NA,9/25/21,NA
Ocean,Sediment,San Pedro Shelf (Nearshore),HC-H1,HC-H1-wet,33.654967,-118.029333,HC-H1-Sediment-wet,414.467109,count/kg dry sediment,NA,3/20/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),HS-H3,HS-H3-dry,33.551317,-118.099767,HS-H3-Sediment-dry,999.4872224,count/kg dry sediment,NA,9/24/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),HS-H3,HS-H3-wet,33.551317,-118.099767,HS-H3-Sediment-wet,194.6429147,count/kg dry sediment,NA,3/19/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-dry,33.592900,-118.061883,HSB-H2-Sediment-dry,899.3866378,count/kg dry sediment,NA,9/25/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),HSB-H2,HSB-H2-wet,33.592900,-118.061883,HSB-H2-Sediment-wet,464.1793196,count/kg dry sediment,NA,3/20/21,NA
Ocean,Sediment,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-dry,33.753733,-118.176533,LA-SP1-Sediment-dry,1348.557117,count/kg dry sediment,NA,9/10/21,NA
Ocean,Sediment,San Pedro Shelf (Nearshore),LA-SP1,LA-SP1-wet,33.753733,-118.176533,LA-SP1-Sediment-wet,3171.987929,count/kg dry sediment,NA,3/12/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-dry,33.707500,-118.190683,MSPB-SP3-Sediment-dry,199.3024922,count/kg dry sediment,NA,9/11/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),MSPB-SP3,MSPB-SP3-wet,33.707500,-118.190683,MSPB-SP3-Sediment-wet,63.45840188,count/kg dry sediment,NA,3/13/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-dry,33.648267,-118.260300,OSPB-SP4-Sediment-dry,328.3894073,count/kg dry sediment,NA,9/11/21,NA
Ocean,Sediment,San Pedro Shelf (Offshore),OSPB-SP4,OSPB-SP4-wet,33.648267,-118.260300,OSPB-SP4-Sediment-wet,179.8677612,count/kg dry sediment,NA,3/13/21,NA
Ocean,Sediment,San Pedro Shelf (Nearshore),SG-SP2,SG-SP2-dry,33.731900,-118.122350,SG-SP2-Sediment-dry,695.7521143,count/kg dry sediment,NA,9/10/21,NA
